Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008]
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.298,55.798,56.454,57.344,57.944,58.361,58.684,59.111,..,62.879,61.982,62.575,63.565,63.081,63.016,63.136,62.659,62.545,62.417,61.923,61.419,60.851,60.364,59.852
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,3521418059.92345,2813571753.87253,3825701438.99963,4520946818.54581,5224896718.67782,6203256538.70967,6971758282.29351,9747886187.39393,17233051620.1117,14497243872.1337,14259995441.0759,19955929052.1496,18799444490.1128,18053222687.4126,18753456497.8159,18116572395.0772,19134221644.7325,20497128555.6972,20146416757.5987,19907329777.5872,17805098206.3141,15856668555.8336,12416152732.0567,10109297047.5432
Afghanistan,AFG,"Population, total",SP.POP.TOTL,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,41454761,40578842,40000412,39068979,37856121,36743039,35688935,34700612,33831764,32792523,31622704,30560034,29347708,28284089,27466101,26482622
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,9.44339085,8.94125843,9.80847359,9.94828892,10.62276554,9.90467453,..,..,21.82794952,15.53361416,14.83131981,14.20841885,12.62081718,11.81859016,10.10534763,9.52887821,8.80596447,7.89716864,8.56190777,8.56967163,9.81848717,10.25649548
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,..,76.833,76.463,76.989,79.282,79.184,79.047,78.86,78.644,78.407,78.123,78.064,78.092,77.936,77.781,77.653
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052077248.14638,8896075004.63516,10677324852.8822,23547179830.4413,19017242585.7803,18032010563.7558,15241458744.8688,15585105131.0644,15379509891.7196,13019726211.7369,11861199830.8396,11386853113.0189,13228147516.1168,12776224496.9718,12319834195.331,12890760315.146,11926926615.8015,12044205549.6571,12881352893.6855
Albania,ALB,"Population, total",SP.POP.TOTL,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2745972,2777689,2811666,2837849,2854191,2866376,2873457,2876101,2880703,2889104,2895092,2900401,2905195,2913021,2927519,2947314
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.94419765,5.92584515,5.66464472,5.91140795,5.89364862,5.72954512,5.63177013,5.92609119,..,..,7.26731825,7.51920271,6.86214113,6.66844559,6.57848787,6.7293272,6.46411896,6.43451118,6.28286266,6.15746212,6.18297672,6.23667669,5.82603931,5.50900269
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.478,70.823,71.23,71.287,71.762,72.061,72.334,72.602,..,77.129,76.377,74.453,76.474,76.066,75.743,75.732,75.622,75.11,74.615,74.202,74.123,73.808,73.62,72.941
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,54790398570.3282,59413400923.6364,61516103406.1688,73482264190.9245,91913680985.1708,107046618669.707,123084258693.01,142482739809.849,247626161016.414,225638456572.143,186231205262.082,164873415325.201,193459662090.677,194554483655.528,189880896903.073,180763839522.151,187493855609.345,238942664192.59,229701430292.157,227143746075.934,218331946925.304,177785053939.531,150317292079.359,180383848331.135
Algeria,DZA,"Population, total",SP.POP.TOTL,30903893,31331221,31750835,32175818,32628286,33109249,33623506,34189416,46164219,45477389,44761099,44042091,43294546,42505035,41689299,40850721,40019529,39205031,38414171,37646166,36903376,36188236,35490445,34816961
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.48903275,3.83787704,3.7300415,3.60104108,3.5440731,3.23516107,3.35510349,3.82141757,..,..,5.5283432,6.14268684,5.86751413,6.38729763,6.53307724,6.58904791,6.96321011,6.54721403,6.03576279,6.00050974,5.26748085,5.11716986,5.35939837,4.20188284
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..,..,512000000,524000000,509000000,500000000,493000000,518000000,..,871000000,750000000,721000000,647000000,639000000,612000000,671000000,673000000,643000000,638000000,640000000,570000000,573000000,675000000,560000000
American Samoa,ASM,"Population, total",SP.POP.TOTL,56855,57053,57062,56971,56818,56617,56374,56113,47521,48342,49225,49761,50209,50908,51586,52245,52878,53466,54006,54489,54895,55228,55528,55828
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1432606188.69324,1548265808.05802,1764279824.29752,2366941808.94404,2900245324.49221,3161084091.11674,3459337986.88383,3957625367.21959,3785067331.7625,3380612573.32922,3324647529.381,2891001149.3611,3155149347.80639,3218419896.9641,3000162081.11976,2896610479.73077,2789881258.50362,3271685596.66321,3193512950.02419,3188652765.36184,3629133574.27783,3449925738.86069,3688976340.7549,4102319399.02343
